Cam	Lower_Lever	Push_Rod_Rotate	Rocker_Lever	Rotate_Valve
-30	12		6		24		27
-32	11.84		5.76		23.68		26.62
-34	11.68		5.52		23.36		26.24
-36	11.52		5.28		23.04		25.86
-38	11.36		5.04		22.72		25.48
-40	11.2		4.8		22.4		25.1
-42	11.04		4.56		22.08		24.72
-44	10.88		4.32		21.76		24.34
-46	10.56		3.84		21.12		23.58
-48	10.24		3.36		20.48		22.82
-50	9.92		2.88		19.84		22.06
-52	9.6		2.4		19.2		21.3
-54	9.28		1.92		18.56		20.54
-56	8.96		1.44		17.92		19.78
-58	8.64		0.96		17.28		19.02
-60	8.32		0.48		16.64		18.26
-62	8.16		0.24		16.32		17.88
-64	8		0		16		17.5
-66	7.68		-0.48		15.36		16.74
-68	7.36		-0.96		14.72		15.98
-70	7.2		-1.2		14.4		15.6
-73	6.88		-1.68		13.76		14.84
-75	6.72		-1.92		13.44		14.46
-77	6.56		-2.16		13.12		14.08
-79	6.4		-2.4		12.8		13.7
-80	6.24		-2.64		12.48		13.32
-82	5.92		-3.12		11.84		12.56
-84	5.6		-3.6		11.2		11.8
-87	5.44		-3.84		10.88		11.42
-89	5.28		-4.08		10.56		11.04
-91	5.12		-4.32		10.24		10.66
-93	4.96		-4.56		9.92		10.28
-95	4.8		-4.8		9.6		9.9
-97	4.7		-4.9		9.4		9.7
-99	4.64		-5.04		9.28		9.52
-101	4.58		-5.14		9.10		9.30
-103	4.48		-5.28		8.96		9.14
-105	4.32		-5.52		8.64		8.76
-107	4.24		-5.62		8.45		8.60
-109	4.16		-5.76		8.32		8.38
-111	4.08		-5.88		8.16		8.19
-113	4		-6		8		8
-115	4		-6		8		8
-117	4		-6		8		8
-119	4		-6		8		8
-121	4		-6		8		8
-123	4		-6		8		8
-125	4		-6		8		8
-127	4		-6		8		8
-129	4		-6		8		8
-131	4		-6		8		8
-133	4		-6		8		8
-135	4		-6		8		8
-137	4		-6		8		8
-139	4		-6		8		8
-141	4		-6		8		8
-143	4		-6		8		8
-145	4		-6		8		8
-147	4		-6		8		8
-149	4		-6		8		8
-151	4		-6		8		8
-153	4		-6		8		8
-155	4		-6		8		8
-157	4		-6		8		8
-159	4		-6		8		8
-161	4		-6		8		8
-163	4		-6		8		8
-165	4		-6		8		8
-167	4		-6		8		8
-169	4		-6		8		8
-171	4		-6		8		8
-173	4		-6		8		8
-175	4		-6		8		8
-177	4		-6		8		8
-179	4		-6		8		8
-180	4		-6		8		8
-182	4		-6		8		8
-184	4		-6		8		8
-186	4		-6		8		8
-188	4		-6		8		8
-190	4		-6		8		8
-192	4		-6		8		8
-194	4		-6		8		8
-196	4		-6		8		8
-198	4		-6		8		8
-200	4		-6		8		8
-202	4		-6		8		8
-204	4		-6		8		8
-206	4		-6		8		8
-208	4		-6		8		8
-210	4		-6		8		8
-212	4		-6		8		8
-214	4		-6		8		8
-216	4		-6		8		8
-218	4		-6		8		8
-220	4		-6		8		8
-222	4		-6		8		8
-224	4		-6		8		8
-226	4		-6		8		8
-228	4		-6		8		8
-230	4		-6		8		8
-232	4		-6		8		8
-234	4		-6		8		8
-236	4		-6		8		8
-238	4		-6		8		8
-240	4		-6		8		8
-242	4		-6		8		8
-244	4		-6		8		8
-246	4		-6		8		8
-248	4		-6		8		8
-250	4		-6		8		8
-252	4		-6		8		8
