Robot_Translation 	Joint_One 	Joint_Two 	Joint_Three 	Joint_Four 	End_Effector
0.0			40.0		50		0			0	0
1.0			40.0		50		0			0	0
2.0			40.0		50		0			0	0
3.0			40.0		50		0			0	0
4.0			40.0		50		0			0	0
5.0			40.0		50		0			0	0
6.0			40.0		50		0			0	0
7.0			40.0		50		0			0	0
8.0			40.0		50		0			0	0
9.0			40.0		50		0			0	0
10.0			40.0		50		0			0	0
11.0			40.0		50		0			0	0
12.0			40.0		50		0			0	0
13.0			40.0		50		0			0	0
14.0			40.0		50		0			0	0
15.0			40.0		50		0			0	0
16.0			40.0		50		0			0	0
17.0			40.0		50		0			0	0
18.0			40.0		50		0			0	0
19.0			40.0		50		0			0	0
20.0			40.0		50		0			0	0
21.0			40.0		50		0			0	0
21.0			40.0		50		1			0	-0.1
21.0			40.0		50		3			0	-0.2
21.0			40.0		50		6			0	-0.3
21.0			40.0		50		9			0	-0.4
21.0			40.0		50		12			0	-0.5
21.0			40.0		50		15			0	-0.6
21.0			40.0		50		18			0	-0.7
21.0			40.0		50		21			0	-0.8
21.0			40.0		50		24			0	-0.9
21.0			42		52		27			3	-1
21.0			43		53		30			4	-1.1
21.0			45		56		33			5	-1.2
21.0			47		58		36			6	-1.3
21.0			49		60		39			7	-1.4
22.0			50		62		42			8	-1.5
22.0			50		62		45			10	-1.6
22.0			50		62		48			12	-1.7
22.0			50		62		51			14	-1.8
22.0			50		62		54			16	-1.9
22.0			50		62		57			18	-2.0
22.0			50		62		54			20	-1.9
22.0			50		62		51			22	-1.8
22.0			50		62		48			24	-1.7
22.0			50		62		45			26	-1.6
22.0			50		62		42			28	-1.5
22.0			50		62		39			26	-1.4
22.0			50		62		36			24	-1.3
22.0			50		62		33			20	-1.2
22.0			50		62		30			17	-1.1
22.0			50		62		27			14	-1.0
22.0			50		62		24			11	-0.9
22.0			50		62		21			9	-0.8
22.0			50		62		18			6	-0.7
22.0			50		62		17			3	-0.6
22.0			50		62		16			2	-0.5
22.0			50		62		15			1	-0.4
22.0			50		62		14			-3	-0.3
22.0			50		62		13			-6	-0.2
22.0			50		62		12			-9	-0.1
22.0			50		62		11			-12	 0.0
20.0			49		61		10			-11	 0.0
18.0			48		60		9			-10	 0.0
16.0			47		60		8			-9	 0.0
14.0			46		58		7			-8	 0.0
12.0			45		56		6			-7	 0.0
10.0			44		55		5			-6	 0.0
8.0			43		54		4			-5	 0.0
6.0			42		52		3			-4	 0.0
4.0			41		50		2			-3	 0.0
2.0			40		51		1			-1	 0.0
0.0			40.0		50		0			0	 0.0
